dimension,birth,death
1,0.0005694464181883434,0.0005995987444132046
1,0.0003402087857856659,0.0003694101111753721
1,0.0003796823394349008,0.0004084851023091043
1,0.00029615621378483207,0.0003248949374002861
1,0.0008147982663347064,0.0008395029008062117
1,0.00030181610164408844,0.00032307174674450133
1,0.0005801945202919719,0.0005967698032352336
1,0.0004559130397108067,0.0004719148301393897
1,0.00038878154946331826,0.0004025404639239303
1,0.0005451546323758297,0.0005587772841865978
1,0.0003550422944289282,0.00036737334567151474
1,0.0004003532681355963,0.00041252960789678144
1,0.000511773595698021,0.0005234932374115007
1,0.0006337954260450261,0.0006450059595709573
1,0.0007595538657706294,0.0007680398303568707
1,0.000969791570926539,0.0009781020443355782
1,0.0005779890784214672,0.0005857263060067047
1,0.0005751093602012262,0.0005805521132505435
1,0.0005795337689869854,0.0005843072875267775
1,0.0003261210529260209,0.00033044909934347796
0,0.0,inf
0,0.0,0.01781796964858285
0,0.0,0.008725856706621361
0,0.0,0.007972257864622877
0,0.0,0.0033574743438063706
0,0.0,0.003307827617782442
0,0.0,0.002314647757452021
0,0.0,0.001819962955106109
0,0.0,0.001703894601562358
0,0.0,0.0016691931323768174
0,0.0,0.00137286524623482
0,0.0,0.0009185593766712113
0,0.0,0.0009026759142667823
0,0.0,0.0008894384091248511
0,0.0,0.0008151312808223428
0,0.0,0.0007851636125759025
0,0.0,0.0007391442710608977
0,0.0,0.000712351693630996
0,0.0,0.000693593338886929
0,0.0,0.0006906408829371576
0,0.0,0.0006507964071250682
0,0.0,0.0006348021702678117
0,0.0,0.0006092918314246007
0,0.0,0.0006079803403187728
0,0.0,0.0006043194407698884
0,0.0,0.000600290599582992
0,0.0,0.0005680991455950229
0,0.0,0.0005678461761192368
0,0.0,0.0005457985045017797
0,0.0,0.0005369519138220885
0,0.0,0.0005274730767320404
0,0.0,0.0005233102298067845
0,0.0,0.0005217214748588387
0,0.0,0.0005121477904318521
0,0.0,0.000498083355240841
0,0.0,0.0004948355450877008
0,0.0,0.0004915337992081886
0,0.0,0.0004886346382202621
0,0.0,0.0004851261944976434
0,0.0,0.00048463232671773406
0,0.0,0.0004791328687323333
0,0.0,0.0004781322420875886
0,0.0,0.00047783164548917384
0,0.0,0.00047555433003900236
0,0.0,0.000458531746140174
0,0.0,0.00045412369385361455
0,0.0,0.0004431639074875563
0,0.0,0.0004404175945932081
0,0.0,0.0004328860336462032
0,0.0,0.0004267950205786584
0,0.0,0.0004261211923914254
0,0.0,0.0004256713810144116
0,0.0,0.0004250708920806782
0,0.0,0.0004230756849196416
0,0.0,0.00042004610290727876
0,0.0,0.00041962782487548904
0,0.0,0.00041691793473065653
0,0.0,0.0004116385723462411
0,0.0,0.00041109525731616045
0,0.0,0.00040832874436913785
0,0.0,0.0004070364995974517
0,0.0,0.00040443962350093516
0,0.0,0.000397632466851727
0,0.0,0.0003850681735421233
0,0.0,0.00037917744248330777
0,0.0,0.0003785453742951565
0,0.0,0.0003695829346284463
0,0.0,0.00036785104630470246
0,0.0,0.00035888843730467356
0,0.0,0.00035817600297967183
0,0.0,0.00035432212676160914
0,0.0,0.0003491479379924364
0,0.0,0.0003398801496087087
0,0.0,0.00032977204793824077
0,0.0,0.0003288024132376002
0,0.0,0.00032321995613229933
0,0.0,0.00032049189420795676
0,0.0,0.00031889391905768683
0,0.0,0.0003106780660779872
0,0.0,0.0003097517421363383
0,0.0,0.0003095455159201625
0,0.0,0.00030892601126475405
0,0.0,0.0003083052617870655
0,0.0,0.00030716396294176794
0,0.0,0.0003050256021976075
0,0.0,0.00030455419633169814
0,0.0,0.00030260847922618077
0,0.0,0.00030049082914198553
0,0.0,0.0002988927456838648
0,0.0,0.0002938291394071181
0,0.0,0.0002923038758785259
0,0.0,0.00029203066909298206
0,0.0,0.000291811919497535
0,0.0,0.00028745750745256957
0,0.0,0.00028567480804248446
0,0.0,0.0002855630198131148
0,0.0,0.00028438659040394706
0,0.0,0.0002833743351401256
0,0.0,0.0002833743351400238
0,0.0,0.00027658901414347306
0,0.0,0.000276589014143219
0,0.0,0.0002761268767877977
0,0.0,0.0002755481151437987
0,0.0,0.00027456142046243813
0,0.0,0.0002744451055156176
0,0.0,0.00027409586451831395
0,0.0,0.0002738044900715849
0,0.0,0.0002736295164738872
0,0.0,0.0002735128052224783
0,0.0,0.0002733960441479373
0,0.0,0.00027275296478271516
0,0.0,0.0002725773161880138
0,0.0,0.0002719910016432583
0,0.0,0.0002716386054663572
0,0.0,0.0002706966395416793
0,0.0,0.0002692775123890111
0,0.0,0.0002658166781668769
0,0.0,0.0002650950025958272
0,0.0,0.00026231018681095665
0,0.0,0.00025887954628232076
0,0.0,0.0002566499201479451
0,0.0,0.00025527778437667753
0,0.0,0.0002545262289159242
0,0.0,0.00025022478013529264
0,0.0,0.00024964991708593975
0,0.0,0.00024785292774175555
0,0.0,0.0002473371042319952
0,0.0,0.0002473371042318861
0,0.0,0.00024519786225882354
0,0.0,0.0002450024594952746
0,0.0,0.00024487210436002316
0,0.0,0.00024284265211285366
0,0.0,0.00024198652619983007
0,0.0,0.0002407297884437229
