componente_id,nodo_id,num_puntos,prefijo_mayoritario,porcentaje
55,cube756_cluster0,117,MSFC,100.0
55,cube618_cluster0,59,MSFC,100.0
55,cube532_cluster0,65,MSFC,100.0
55,cube615_cluster0,181,MSFC,100.0
55,cube614_cluster0,244,MSFC,100.0
55,cube613_cluster0,80,MSFC,100.0
55,cube697_cluster0,108,MSFC,100.0
55,cube617_cluster0,62,MSFC,100.0
55,cube619_cluster0,170,MSFC,100.0
55,cube695_cluster0,414,MSFC,100.0
55,cube751_cluster0,64,MSFC,100.0
55,cube524_cluster0,184,MSFC,100.0
55,cube700_cluster0,83,MSFC,100.0
55,cube616_cluster0,117,MSFC,100.0
55,cube759_cluster0,227,MSFC,100.0
56,cube642_cluster0,60,MVIV,100.0
56,cube634_cluster0,114,MVIE,100.0
56,cube714_cluster0,56,MVIE,100.0
56,cube775_cluster0,20,MVIE,100.0
56,cube713_cluster0,24,MVIE,100.0
56,cube720_cluster0,39,MVIE,100.0
56,cube715_cluster0,53,MVIE,100.0
56,cube774_cluster0,170,MVIE,100.0
56,cube552_cluster0,124,MVIE,100.0
56,cube644_cluster0,98,MVIE,100.0
56,cube559_cluster0,30,MVIE,100.0
56,cube639_cluster0,97,MVIE,100.0
56,cube560_cluster0,104,MVIE,100.0
56,cube776_cluster0,134,MVIE,100.0
56,cube717_cluster0,204,MVIE,100.0
56,cube718_cluster0,213,MVIE,100.0
56,cube564_cluster0,58,MVIE,100.0
56,cube553_cluster0,76,MVIE,100.0
56,cube565_cluster0,111,MVIE,100.0
56,cube643_cluster0,136,MVIE,100.0
56,cube773_cluster0,117,MVIE,100.0
56,cube638_cluster0,252,MVIE,100.0
56,cube637_cluster0,179,MVIV,67.04
57,cube567_cluster0,57,WLEC,100.0
57,cube646_cluster0,39,WLEC,100.0
58,cube571_cluster0,54,WVIV,100.0
58,cube649_cluster0,54,WVIV,100.0
59,cube575_cluster0,53,WVIV,100.0
59,cube572_cluster0,55,WVIV,100.0
59,cube573_cluster0,56,WVIV,100.0
59,cube574_cluster0,55,WVIV,100.0
59,cube650_cluster0,51,WVIV,100.0
59,cube651_cluster0,109,WVIV,100.0
60,cube595_cluster0,57,MRS,100.0
60,cube676_cluster0,49,MRS,100.0
60,cube670_cluster0,49,MRS,100.0
60,cube590_cluster0,57,MRS,100.0
60,cube591_cluster0,61,MRS,100.0
60,cube596_cluster0,59,MRS,100.0
60,cube671_cluster0,171,MRS,100.0
60,cube672_cluster0,114,MRS,100.0
61,cube611_cluster0,116,MSC,100.0
61,cube693_cluster0,57,MSC,100.0
62,cube706_cluster0,56,MVIE,100.0
62,cube628_cluster0,116,MVIE,100.0
63,cube647_cluster0,58,WLEC,100.0
63,cube648_cluster0,58,WLEC,100.0
64,cube721_cluster0,56,WVIV,100.0
64,cube653_cluster0,57,WVIV,100.0
65,cube657_cluster0,119,MRS,100.0
65,cube661_cluster0,60,MRS,100.0
65,cube658_cluster0,60,MRS,100.0
66,cube664_cluster0,62,MRS,100.0
66,cube853_cluster0,58,MRS,100.0
66,cube730_cluster0,67,MRS,100.0
66,cube731_cluster0,67,MRS,100.0
66,cube793_cluster0,145,MRS,100.0
66,cube794_cluster0,176,MRS,100.0
66,cube792_cluster0,26,MRS,100.0
66,cube733_cluster0,57,MRS,100.0
66,cube729_cluster0,59,MRS,100.0
66,cube668_cluster0,61,MRS,100.0
66,cube734_cluster0,53,MRS,100.0
67,cube674_cluster0,114,MRS,100.0
67,cube673_cluster0,116,MRS,100.0
67,cube736_cluster0,61,MRS,100.0
67,cube735_cluster0,102,MRS,100.0
68,cube689_cluster0,98,MRS,100.0
68,cube688_cluster0,111,MRS,100.0
69,cube705_cluster0,58,MVIE,100.0
69,cube704_cluster0,56,MVIE,100.0
69,cube701_cluster0,56,MVIE,100.0
69,cube702_cluster0,59,MVIE,100.0
70,cube724_cluster0,120,MRS,100.0
70,cube784_cluster0,60,MRS,100.0
71,cube785_cluster0,59,MRS,100.0
71,cube725_cluster0,57,MRS,100.0
71,cube786_cluster0,119,MRS,100.0
71,cube726_cluster0,110,MRS,100.0
72,cube728_cluster0,60,MRS,100.0
72,cube791_cluster0,62,MRS,100.0
73,cube738_cluster0,74,MRS,100.0
73,cube800_cluster0,156,MRS,100.0
73,cube801_cluster0,113,MRS,100.0
74,cube862_cluster0,59,MRS,100.0
74,cube806_cluster0,178,MRS,100.0
74,cube740_cluster0,170,MRS,100.0
74,cube859_cluster0,59,MRS,100.0
74,cube741_cluster0,57,MRS,100.0
74,cube805_cluster0,58,MRS,100.0
75,cube871_cluster0,173,MRS,100.0
75,cube870_cluster0,116,MRS,100.0
75,cube872_cluster0,114,MRS,100.0
75,cube916_cluster0,52,MRS,100.0
75,cube813_cluster0,118,MRS,100.0
75,cube816_cluster0,117,MRS,100.0
75,cube815_cluster0,64,MRS,100.0
75,cube748_cluster0,125,MRS,100.0
75,cube814_cluster0,119,MRS,100.0
76,cube762_cluster0,64,MVIE,100.0
76,cube764_cluster0,60,MVIE,100.0
77,cube765_cluster0,63,MVIE,100.0
78,cube828_cluster0,35,MVIE,100.0
78,cube766_cluster0,209,MVIE,100.0
78,cube832_cluster0,56,MVIE,100.0
78,cube829_cluster0,35,MVIE,100.0
78,cube830_cluster0,205,MVIE,100.0
78,cube831_cluster0,60,MVIE,100.0
79,cube909_cluster0,58,MRS,100.0
79,cube855_cluster0,174,MRS,100.0
79,cube907_cluster0,80,MRS,100.0
