prefijo,porcentaje_a,archivo_a,porcentaje_b,archivo_b,dimension,distancia
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_17.csv,0,0.2745076
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_17.csv,1,0.036488567
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_17.csv,2,0.00027587358
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_1.csv,0,0.13518979
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_1.csv,1,0.012337442
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_1.csv,2,0.00037680886
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_9.csv,0,0.09782539
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_9.csv,1,0.009081108
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_9.csv,2,0.00020849591
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_14.csv,0,0.18385665
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_14.csv,1,0.023256069
MIA,10,persistencia_MIA_componente_1.csv,20,persistencia_MIA_componente_14.csv,2,0.00020633548
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_2.csv,0,0.7639322
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_2.csv,1,0.09514523
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_2.csv,2,0.006481573
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_1.csv,0,0.13701932
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_1.csv,1,0.01475598
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_1.csv,2,0.00043230562
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_8.csv,0,0.28314498
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_8.csv,1,0.03932889
MIA,10,persistencia_MIA_componente_1.csv,30,persistencia_MIA_componente_8.csv,2,0.0017289477
MIA,10,persistencia_MIA_componente_1.csv,40,persistencia_MIA_componente_1.csv,0,1.0097394
