prefijo,porcentaje_a,archivo_a,porcentaje_b,archivo_b,dimension,distancia
WVAE,80,persistencia_WVAE_componente_1.csv,90,persistencia_WVAE_componente_3.csv,2,0.0012317062
WVAE,80,persistencia_WVAE_componente_1.csv,90,persistencia_WVAE_componente_4.csv,0,0.08692625
WVAE,80,persistencia_WVAE_componente_1.csv,90,persistencia_WVAE_componente_4.csv,1,0.013689588
WVAE,80,persistencia_WVAE_componente_1.csv,90,persistencia_WVAE_componente_4.csv,2,0.0011692708
WVAE,80,persistencia_WVAE_componente_1.csv,100,persistencia_WVAE_componente_1.csv,0,0.030013803
WVAE,80,persistencia_WVAE_componente_1.csv,100,persistencia_WVAE_componente_1.csv,1,0.009253649
WVAE,80,persistencia_WVAE_componente_1.csv,100,persistencia_WVAE_componente_1.csv,2,0.0021753048
WVAE,80,persistencia_WVAE_componente_1.csv,100,persistencia_WVAE_componente_2.csv,0,0.077134185
WVAE,80,persistencia_WVAE_componente_1.csv,100,persistencia_WVAE_componente_2.csv,1,0.012282287
WVAE,80,persistencia_WVAE_componente_1.csv,100,persistencia_WVAE_componente_2.csv,2,0.0011666458
WVAE,80,persistencia_WVAE_componente_2.csv,80,persistencia_WVAE_componente_1.csv,0,0.07325274
WVAE,80,persistencia_WVAE_componente_2.csv,80,persistencia_WVAE_componente_1.csv,1,0.012325049
WVAE,80,persistencia_WVAE_componente_2.csv,80,persistencia_WVAE_componente_1.csv,2,0.0011954386
WVAE,80,persistencia_WVAE_componente_2.csv,80,persistencia_WVAE_componente_2.csv,0,0.0
WVAE,80,persistencia_WVAE_componente_2.csv,80,persistencia_WVAE_componente_2.csv,1,0.0
WVAE,80,persistencia_WVAE_componente_2.csv,80,persistencia_WVAE_componente_2.csv,2,0.0
WVAE,80,persistencia_WVAE_componente_2.csv,90,persistencia_WVAE_componente_2.csv,0,0.017352892
WVAE,80,persistencia_WVAE_componente_2.csv,90,persistencia_WVAE_componente_2.csv,1,0.0067368536
WVAE,80,persistencia_WVAE_componente_2.csv,90,persistencia_WVAE_componente_2.csv,2,0.0027458
WVAE,80,persistencia_WVAE_componente_2.csv,90,persistencia_WVAE_componente_3.csv,0,0.022390636
WVAE,80,persistencia_WVAE_componente_2.csv,90,persistencia_WVAE_componente_3.csv,1,0.0075447983
WVAE,80,persistencia_WVAE_componente_2.csv,90,persistencia_WVAE_componente_3.csv,2,0.0005560605
WVAE,80,persistencia_WVAE_componente_2.csv,90,persistencia_WVAE_componente_4.csv,0,0.028784055
WVAE,80,persistencia_WVAE_componente_2.csv,90,persistencia_WVAE_componente_4.csv,1,0.005512618
WVAE,80,persistencia_WVAE_componente_2.csv,90,persistencia_WVAE_componente_4.csv,2,0.0003491866
WVAE,80,persistencia_WVAE_componente_2.csv,100,persistencia_WVAE_componente_1.csv,0,0.053248286
WVAE,80,persistencia_WVAE_componente_2.csv,100,persistencia_WVAE_componente_1.csv,1,0.01234018
WVAE,80,persistencia_WVAE_componente_2.csv,100,persistencia_WVAE_componente_1.csv,2,0.0018556705
WVAE,80,persistencia_WVAE_componente_2.csv,100,persistencia_WVAE_componente_2.csv,0,0.022225121
WVAE,80,persistencia_WVAE_componente_2.csv,100,persistencia_WVAE_componente_2.csv,1,0.008826521
WVAE,80,persistencia_WVAE_componente_2.csv,100,persistencia_WVAE_componente_2.csv,2,0.00040043183
MCEFL,80,persistencia_MCEFL_componente_1.csv,80,persistencia_MCEFL_componente_1.csv,0,8.2019403e-07
MCEFL,80,persistencia_MCEFL_componente_1.csv,80,persistencia_MCEFL_componente_1.csv,1,0.0
MCEFL,80,persistencia_MCEFL_componente_1.csv,80,persistencia_MCEFL_componente_1.csv,2,0.0
MCEFL,80,persistencia_MCEFL_componente_1.csv,80,persistencia_MCEFL_componente_2.csv,0,0.3532761
MCEFL,80,persistencia_MCEFL_componente_1.csv,80,persistencia_MCEFL_componente_2.csv,1,0.06686419
MCEFL,80,persistencia_MCEFL_componente_1.csv,80,persistencia_MCEFL_componente_2.csv,2,0.015321025
MCEFL,80,persistencia_MCEFL_componente_1.csv,80,persistencia_MCEFL_componente_3.csv,0,0.47377643
MCEFL,80,persistencia_MCEFL_componente_1.csv,80,persistencia_MCEFL_componente_3.csv,1,0.08174312
MCEFL,80,persistencia_MCEFL_componente_1.csv,80,persistencia_MCEFL_componente_3.csv,2,0.01529986
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_10.csv,0,0.4643731
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_10.csv,1,0.08169356
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_1.csv,0,0.43707082
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_1.csv,1,0.074544854
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_1.csv,2,0.015300017
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_2.csv,0,0.35106003
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_2.csv,1,0.05114203
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_2.csv,2,0.010728514
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_4.csv,0,0.4122119
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_4.csv,1,0.07125779
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_4.csv,2,0.015298591
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_3.csv,0,0.45734042
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_3.csv,1,0.08009625
MCEFL,80,persistencia_MCEFL_componente_1.csv,90,persistencia_MCEFL_componente_3.csv,2,0.015299003
MCEFL,80,persistencia_MCEFL_componente_1.csv,100,persistencia_MCEFL_componente_5.csv,0,0.3221388
