prefijo,porcentaje_a,archivo_a,porcentaje_b,archivo_b,dimension,distancia
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_1.csv,0,0.5095302
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_1.csv,1,0.09029073
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_1.csv,2,0.006180431
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_2.csv,0,0.16673508
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_2.csv,1,0.023651216
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_2.csv,2,0.0002229866
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_4.csv,0,0.17125532
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_4.csv,1,0.028548317
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_4.csv,2,5.9308004e-05
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_3.csv,0,0.23069583
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_3.csv,1,0.028701644
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_3.csv,2,7.5483455e-05
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_8.csv,0,0.17985632
MCEFL,10,persistencia_MCEFL_componente_1.csv,50,persistencia_MCEFL_componente_8.csv,1,0.029653197
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_10.csv,0,0.2267813
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_10.csv,1,0.026718441
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_10.csv,2,0.00013857105
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_17.csv,0,0.1721807
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_17.csv,1,0.026352717
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_17.csv,2,9.0059824e-05
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_13.csv,0,0.17980924
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_13.csv,1,0.028498575
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_13.csv,2,0.0001377394
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_1.csv,0,0.37651312
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_1.csv,1,0.07933998
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_1.csv,2,0.01330417
MCEFL,10,persistencia_MCEFL_componente_1.csv,60,persistencia_MCEFL_componente_6.csv,0,0.16008909
