ID,FAULT_TYPE,CODE LINE,TRANSFORMED CODE,FILE,UNIT TEST LOG,FUNCTIONAL TEST LOG,INTEGRATION TEST LOG,UNIT TEST RESULT,UNIT RATIO,FUNCTIONAL TEST RESULT,FUNCTIONAL TEST RATIO,INTEGRATION TEST RESULT,INTEGRATION TEST RATIO,UNIT TEST TOTAL RESULTS,FUNCTIONAL TEST TOTAL RESULTS,INTEGRATION TEST TOTAL RESULTS
94,MPFC,569,MPFC_569_transformed_code_94.py,resources/api.py,21022025131129_unit_result_569,21022025131129_functional_result_569,,True,0/0,True,0/0,False,NA,,,NA
95,MPFC,591,MPFC_591_transformed_code_95.py,resources/api.py,21022025131144_unit_result_591,21022025131144_functional_result_591,,True,0/0,True,0/0,False,NA,,,NA
96,MPFC,592,MPFC_592_transformed_code_96.py,resources/api.py,21022025131154_unit_result_592,21022025131154_functional_result_592,,True,0/0,True,0/0,False,NA,,,NA
97,MPFC,593,MPFC_593_transformed_code_97.py,resources/api.py,21022025131207_unit_result_593,21022025131207_functional_result_593,,True,0/0,True,0/0,False,NA,,,NA
98,MPFC,595,MPFC_595_transformed_code_98.py,resources/api.py,21022025131214_unit_result_595,21022025131214_functional_result_595,,True,0/0,True,0/0,False,NA,,,NA
99,MPFC,624,MPFC_624_transformed_code_99.py,resources/api.py,21022025131224_unit_result_624,21022025131224_functional_result_624,,True,0/0,True,0/0,False,NA,,,NA
100,MPFC,626,MPFC_626_transformed_code_100.py,resources/api.py,21022025131232_unit_result_626,21022025131232_functional_result_626,,True,0/0,True,0/0,False,NA,,,NA
101,MPFC,629,MPFC_629_transformed_code_101.py,resources/api.py,21022025131250_unit_result_629,21022025131250_functional_result_629,,True,0/0,True,0/0,False,NA,,,NA
102,MPFC,631,MPFC_631_transformed_code_102.py,resources/api.py,21022025131257_unit_result_631,21022025131257_functional_result_631,,True,0/0,True,0/0,False,NA,,,NA
103,MPFC,631,MPFC_631_transformed_code_103.py,resources/api.py,21022025131305_unit_result_631,21022025131305_functional_result_631,,True,0/0,True,0/0,False,NA,,,NA
104,MPFC,636,MPFC_636_transformed_code_104.py,resources/api.py,21022025131327_unit_result_636,21022025131327_functional_result_636,,True,0/0,True,0/0,False,NA,,,NA
105,MPFC,636,MPFC_636_transformed_code_105.py,resources/api.py,21022025131334_unit_result_636,21022025131334_functional_result_636,,True,0/0,True,0/0,False,NA,,,NA
106,MPFC,637,MPFC_637_transformed_code_106.py,resources/api.py,21022025131344_unit_result_637,21022025131344_functional_result_637,,True,0/0,True,0/0,False,NA,,,NA
107,MPFC,637,MPFC_637_transformed_code_107.py,resources/api.py,21022025131349_unit_result_637,21022025131349_functional_result_637,,True,0/0,True,0/0,False,NA,,,NA
108,MPFC,683,MPFC_683_transformed_code_108.py,resources/api.py,21022025131402_unit_result_683,21022025131402_functional_result_683,,True,0/0,True,0/0,False,NA,,,NA
109,MPFC,695,MPFC_695_transformed_code_109.py,resources/api.py,21022025131416_unit_result_695,21022025131416_functional_result_695,,True,0/0,True,0/0,False,NA,,,NA
110,MPFC,699,MPFC_699_transformed_code_110.py,resources/api.py,21022025131428_unit_result_699,21022025131428_functional_result_699,,True,0/0,True,0/0,False,NA,,,NA
111,MPFC,707,MPFC_707_transformed_code_111.py,resources/api.py,21022025131437_unit_result_707,21022025131437_functional_result_707,,True,0/0,True,0/0,False,NA,,,NA
112,MPFC,734,MPFC_734_transformed_code_112.py,resources/api.py,21022025131501_unit_result_734,21022025131501_functional_result_734,,True,0/0,True,0/0,False,NA,,,NA
113,MPFC,736,MPFC_736_transformed_code_113.py,resources/api.py,21022025131512_unit_result_736,21022025131512_functional_result_736,,True,0/0,True,0/0,False,NA,,,NA
114,MPFC,739,MPFC_739_transformed_code_114.py,resources/api.py,21022025131518_unit_result_739,21022025131518_functional_result_739,,True,0/0,True,0/0,False,NA,,,NA
115,MPFC,740,MPFC_740_transformed_code_115.py,resources/api.py,21022025131531_unit_result_740,21022025131531_functional_result_740,,True,0/0,True,0/0,False,NA,,,NA
116,MPFC,742,MPFC_742_transformed_code_116.py,resources/api.py,21022025131540_unit_result_742,21022025131540_functional_result_742,,True,0/0,True,0/0,False,NA,,,NA
117,MPFC,747,MPFC_747_transformed_code_117.py,resources/api.py,21022025131557_unit_result_747,21022025131557_functional_result_747,,True,0/0,True,0/0,False,NA,,,NA
118,MPFC,748,MPFC_748_transformed_code_118.py,resources/api.py,21022025131611_unit_result_748,21022025131611_functional_result_748,,True,0/0,True,0/0,False,NA,,,NA
119,MPFC,749,MPFC_749_transformed_code_119.py,resources/api.py,21022025131617_unit_result_749,21022025131617_functional_result_749,,True,0/0,True,0/0,False,NA,,,NA
120,MPFC,750,MPFC_750_transformed_code_120.py,resources/api.py,21022025131627_unit_result_750,21022025131627_functional_result_750,,True,0/0,True,0/0,False,NA,,,NA
121,MPFC,752,MPFC_752_transformed_code_121.py,resources/api.py,21022025131636_unit_result_752,21022025131636_functional_result_752,,True,0/0,True,0/0,False,NA,,,NA
122,MPFC,754,MPFC_754_transformed_code_122.py,resources/api.py,21022025131646_unit_result_754,21022025131646_functional_result_754,,True,0/0,True,0/0,False,NA,,,NA
123,MPFC,767,MPFC_767_transformed_code_123.py,resources/api.py,21022025131702_unit_result_767,21022025131702_functional_result_767,,True,0/0,True,0/0,False,NA,,,NA
124,MPFC,771,MPFC_771_transformed_code_124.py,resources/api.py,21022025131714_unit_result_771,21022025131714_functional_result_771,,True,0/0,True,0/0,False,NA,,,NA
125,MPFC,774,MPFC_774_transformed_code_125.py,resources/api.py,21022025131718_unit_result_774,21022025131718_functional_result_774,,True,0/0,True,0/0,False,NA,,,NA
126,MPFC,775,MPFC_775_transformed_code_126.py,resources/api.py,21022025131733_unit_result_775,21022025131733_functional_result_775,,True,0/0,True,0/0,False,NA,,,NA
127,MPFC,777,MPFC_777_transformed_code_127.py,resources/api.py,21022025131740_unit_result_777,21022025131740_functional_result_777,,True,0/0,True,0/0,False,NA,,,NA
128,MPFC,781,MPFC_781_transformed_code_128.py,resources/api.py,21022025131752_unit_result_781,21022025131752_functional_result_781,,True,0/0,True,0/0,False,NA,,,NA
129,MPFC,783,MPFC_783_transformed_code_129.py,resources/api.py,21022025131759_unit_result_783,21022025131759_functional_result_783,,True,0/0,True,0/0,False,NA,,,NA
130,MPFC,783,MPFC_783_transformed_code_130.py,resources/api.py,21022025131809_unit_result_783,21022025131809_functional_result_783,,True,0/0,True,0/0,False,NA,,,NA
131,MPFC,790,MPFC_790_transformed_code_131.py,resources/api.py,21022025131833_unit_result_790,21022025131833_functional_result_790,,True,0/0,True,0/0,False,NA,,,NA
132,MPFC,797,MPFC_797_transformed_code_132.py,resources/api.py,21022025131841_unit_result_797,21022025131841_functional_result_797,,True,0/0,True,0/0,False,NA,,,NA
133,MPFC,798,MPFC_798_transformed_code_133.py,resources/api.py,21022025131851_unit_result_798,21022025131851_functional_result_798,,True,0/0,True,0/0,False,NA,,,NA
134,MPFC,799,MPFC_799_transformed_code_134.py,resources/api.py,21022025131859_unit_result_799,21022025131859_functional_result_799,,True,0/0,True,0/0,False,NA,,,NA
135,MPFC,800,MPFC_800_transformed_code_135.py,resources/api.py,21022025131906_unit_result_800,21022025131906_functional_result_800,,True,0/0,True,0/0,False,NA,,,NA
136,MPFC,802,MPFC_802_transformed_code_136.py,resources/api.py,21022025131920_unit_result_802,21022025131920_functional_result_802,,True,0/0,True,0/0,False,NA,,,NA
137,MPFC,804,MPFC_804_transformed_code_137.py,resources/api.py,21022025131931_unit_result_804,21022025131931_functional_result_804,,True,0/0,True,0/0,False,NA,,,NA
138,MPFC,804,MPFC_804_transformed_code_138.py,resources/api.py,21022025131942_unit_result_804,21022025131942_functional_result_804,,True,0/0,True,0/0,False,NA,,,NA
139,MPFC,805,MPFC_805_transformed_code_139.py,resources/api.py,21022025131952_unit_result_805,21022025131952_functional_result_805,,True,0/0,True,0/0,False,NA,,,NA
140,MPFC,807,MPFC_807_transformed_code_140.py,resources/api.py,21022025132000_unit_result_807,21022025132000_functional_result_807,,True,0/0,True,0/0,False,NA,,,NA
