componente_id,nodo_id,num_puntos,prefijo_mayoritario,porcentaje
70,cube654_cluster0,66,WLEC,100.0
71,cube726_cluster0,52,WLEC,100.0
71,cube723_cluster0,110,WLEC,100.0
71,cube727_cluster0,53,WLEC,100.0
71,cube658_cluster0,111,WLEC,100.0
72,cube866_cluster0,140,WLEC,100.0
72,cube746_cluster0,236,WLEC,100.0
72,cube798_cluster0,52,WLEC,100.0
72,cube741_cluster0,65,WLEC,100.0
72,cube745_cluster0,60,WLEC,100.0
72,cube743_cluster0,103,WLEC,100.0
72,cube799_cluster0,60,WLEC,100.0
72,cube867_cluster0,60,WLEC,100.0
72,cube676_cluster0,72,WLEC,100.0
72,cube675_cluster0,75,WLEC,100.0
72,cube803_cluster0,60,WLEC,100.0
72,cube801_cluster0,165,WLEC,100.0
72,cube742_cluster0,302,WLEC,100.0
72,cube802_cluster0,283,WLEC,100.0
72,cube747_cluster0,178,WLEC,100.0
72,cube674_cluster0,13,WLEC,100.0
73,cube690_cluster0,110,WVIV,100.0
73,cube686_cluster0,110,WVIV,100.0
74,cube718_cluster0,166,WLEC,100.0
75,cube725_cluster0,112,WLEC,100.0
75,cube720_cluster0,166,WLEC,100.0
75,cube721_cluster0,54,WLEC,100.0
76,cube795_cluster0,110,WLEC,100.0
76,cube739_cluster0,111,WLEC,100.0
77,cube751_cluster0,116,MRS,100.0
77,cube750_cluster0,32,MRS,100.0
78,cube878_cluster0,234,WVIV,100.0
78,cube927_cluster0,54,WVIV,100.0
78,cube926_cluster0,60,WVIV,100.0
78,cube820_cluster0,116,WVIV,100.0
78,cube756_cluster0,62,WVIV,100.0
78,cube877_cluster0,119,WVIV,100.0
78,cube819_cluster0,78,WVIV,100.0
78,cube813_cluster0,177,WVIV,100.0
78,cube757_cluster0,66,WVIV,100.0
78,cube879_cluster0,117,WVIV,100.0
78,cube924_cluster0,54,WVIV,100.0
78,cube812_cluster0,14,WVIV,100.0
79,cube815_cluster0,114,WVIV,100.0
79,cube811_cluster0,114,WVIV,100.0
80,cube822_cluster0,169,WVIV,100.0
80,cube882_cluster0,128,WVIV,100.0
80,cube881_cluster0,116,WVIV,100.0
80,cube928_cluster0,111,WVIV,100.0
80,cube818_cluster0,46,WVIV,100.0
80,cube883_cluster0,58,WVIV,100.0
80,cube884_cluster0,55,WVIV,100.0
80,cube821_cluster0,177,WVIV,100.0
80,cube817_cluster0,54,WVIV,100.0
80,cube823_cluster0,46,WVIV,100.0
80,cube880_cluster0,59,WVIV,100.0
81,cube895_cluster0,110,WLEC,100.0
81,cube833_cluster0,177,WLEC,100.0
81,cube894_cluster0,13,WLEC,69.23
81,cube834_cluster0,111,WLEC,100.0
82,cube900_cluster0,116,MSFC,100.0
82,cube845_cluster0,60,MSFC,100.0
82,cube935_cluster0,54,MSFC,100.0
82,cube897_cluster0,59,MSFC,100.0
82,cube936_cluster0,115,MSFC,100.0
82,cube934_cluster0,116,MSFC,100.0
82,cube902_cluster0,59,MSFC,100.0
82,cube901_cluster0,59,MSFC,100.0
83,cube986_cluster0,173,MVIE,100.0
83,cube956_cluster0,42,MVIE,100.0
83,cube946_cluster0,19,MVIE,100.0
83,cube976_cluster0,113,MVIE,100.0
83,cube860_cluster0,14,MVIE,100.0
83,cube955_cluster0,17,MVIE,100.0
83,cube985_cluster0,119,MVIE,100.0
83,cube908_cluster0,206,MVIE,100.0
83,cube916_cluster0,59,MVIE,100.0
83,cube861_cluster0,23,MVIE,100.0
83,cube948_cluster0,218,MVIE,100.0
83,cube909_cluster0,116,MVIE,100.0
83,cube862_cluster0,14,MVIE,100.0
83,cube947_cluster0,159,MVIE,100.0
83,cube915_cluster0,152,MVIE,100.0
